period_starts_at,period_ends_at,payroll_expected_at,payment_expected_at
2023-02-01,2023-02-15,2023-02-24 17:00,2023-02-28
2023-02-16,2023-02-28,2023-03-13 17:00,2023-03-15
2023-03-01,2023-03-15,2023-03-29 17:00,2023-03-31
2023-03-16,2023-03-31,2023-04-12 17:00,2023-04-14
2023-04-01,2023-04-15,2023-04-26 17:00,2023-04-28
2023-04-16,2023-04-30,2023-05-11 17:00,2023-05-15
2023-05-01,2023-05-15,2023-05-26 17:00,2023-05-31
2023-05-16,2023-05-31,2023-06-13 17:00,2023-06-15
2023-06-01,2023-06-15,2023-06-28 17:00,2023-06-30
2023-06-16,2023-06-30,2023-07-12 17:00,2023-07-14
2023-07-01,2023-07-15,2023-07-27 17:00,2023-07-31
2023-07-16,2023-07-31,2023-08-11 17:00,2023-08-15
2023-08-01,2023-08-15,2023-08-29 17:00,2023-08-31
2023-08-16,2023-08-31,2023-09-13 17:00,2023-09-15
2023-09-01,2023-09-15,2023-09-27 17:00,2023-09-29
2023-09-16,2023-09-30,2023-10-11 17:00,2023-10-13
2023-10-01,2023-10-15,2023-10-27 17:00,2023-10-31
2023-10-16,2023-10-31,2023-11-13 17:00,2023-11-15
2023-11-01,2023-11-15,2023-11-28 17:00,2023-11-30
2023-11-16,2023-11-30,2023-12-13 17:00,2023-12-15
2023-12-01,2023-12-15,2023-12-20 17:00,2023-12-22
